method,algorithm,k,seed_1,seed_2,ARI,NMI
PCA,Spectral,5,8091,3881,1.0,1.0
PCA,Spectral,5,8091,5008,1.0,1.0
PCA,Spectral,5,8091,5576,1.0,1.0
PCA,Spectral,5,8091,4861,1.0,1.0
PCA,Spectral,5,8091,2694,1.0,1.0000000000000002
PCA,Spectral,5,8091,3210,1.0,1.0
PCA,Spectral,5,8091,1127,1.0,1.0
PCA,Spectral,5,8091,6731,1.0,1.0
PCA,Spectral,5,3881,5008,1.0,1.0
PCA,Spectral,5,3881,5576,1.0,1.0
PCA,Spectral,5,3881,4861,1.0,1.0
PCA,Spectral,5,3881,2694,1.0,1.0000000000000002
PCA,Spectral,5,3881,3210,1.0,1.0
PCA,Spectral,5,3881,1127,1.0,1.0
PCA,Spectral,5,3881,6731,1.0,1.0
PCA,Spectral,5,5008,5576,1.0,1.0
PCA,Spectral,5,5008,4861,1.0,1.0
PCA,Spectral,5,5008,2694,1.0,1.0000000000000002
PCA,Spectral,5,5008,3210,1.0,1.0
PCA,Spectral,5,5008,1127,1.0,1.0
PCA,Spectral,5,5008,6731,1.0,1.0
PCA,Spectral,5,5576,4861,1.0,1.0
PCA,Spectral,5,5576,2694,1.0,1.0000000000000002
PCA,Spectral,5,5576,3210,1.0,1.0
PCA,Spectral,5,5576,1127,1.0,1.0
PCA,Spectral,5,5576,6731,1.0,1.0
PCA,Spectral,5,4861,2694,1.0,1.0000000000000002
PCA,Spectral,5,4861,3210,1.0,1.0
PCA,Spectral,5,4861,1127,1.0,1.0
PCA,Spectral,5,4861,6731,1.0,1.0
PCA,Spectral,5,2694,3210,1.0,1.0
PCA,Spectral,5,2694,1127,1.0,1.0
PCA,Spectral,5,2694,6731,1.0,1.0
PCA,Spectral,5,3210,1127,1.0,1.0
PCA,Spectral,5,3210,6731,1.0,1.0
PCA,Spectral,5,1127,6731,1.0,1.0
PCA,KMeans,6,5576,3857,0.956161041730617,0.9531658482228316
PCA,KMeans,6,5576,9422,0.9139191079533446,0.9206401477201038
PCA,KMeans,6,5576,8146,1.0,1.0
PCA,KMeans,6,5576,6230,0.9139191079533446,0.9206401477201037
PCA,KMeans,6,5576,5201,0.9139191079533446,0.9206401477201037
PCA,KMeans,6,5576,2687,1.0,1.0
PCA,KMeans,6,5576,8095,0.9139191079533446,0.9206401477201037
PCA,KMeans,6,5576,6967,0.956161041730617,0.9531658482228315
PCA,KMeans,6,5576,6140,0.9139191079533446,0.9206401477201037
PCA,KMeans,6,3857,9422,0.9564257382814382,0.9529670214486989
PCA,KMeans,6,3857,8146,0.956161041730617,0.9531658482228315
PCA,KMeans,6,3857,6230,0.9564257382814382,0.9529670214486989
PCA,KMeans,6,3857,5201,0.9564257382814382,0.9529670214486989
PCA,KMeans,6,3857,2687,0.956161041730617,0.9531658482228315
PCA,KMeans,6,3857,8095,0.9564257382814382,0.9529670214486989
PCA,KMeans,6,3857,6967,1.0,1.0
PCA,KMeans,6,3857,6140,0.9564257382814382,0.9529670214486989
PCA,KMeans,6,9422,8146,0.9139191079533446,0.9206401477201037
PCA,KMeans,6,9422,6230,1.0,1.0
PCA,KMeans,6,9422,5201,1.0,1.0
PCA,KMeans,6,9422,2687,0.9139191079533446,0.9206401477201037
